iter	Passed	Remaining
0	1	153
1	2	137
2	4	129
3	5	122
4	6	132
5	8	126
6	9	121
7	10	117
8	11	114
9	12	112
10	13	110
11	14	108
12	15	106
13	17	105
14	18	103
15	19	101
16	20	101
17	21	98
18	22	96
19	23	94
20	24	92
21	25	91
22	26	89
23	27	88
24	28	86
25	29	85
26	30	83
27	32	82
28	32	80
29	33	79
30	34	77
31	35	76
32	36	74
33	37	73
34	38	72
35	39	70
36	40	69
37	41	68
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	59
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
